Address,Price,Beds,Baths,Sqft
"1827 N Fairfield Ave APT 3N, Chicago, IL 60647Sold",420000,2,2,"1,250"
"2023 N California Ave # 3, Chicago, IL 60647Sold",235000,1,1,760
"2720 W Cortland St APT 408, Chicago, IL 60647Sold",250000,1,1,700
"2735 W Armitage Ave APT 201, Chicago, IL 60647Sold",408000,2,2,"1,397"
"1734 N Humboldt Blvd, Chicago, IL 60647Sold",949000,4,4,"3,700"
"3107 W Armitage Ave # 2, Chicago, IL 60647Sold",412500,3,2,"1,500"
"2735 W Armitage Ave APT 105, Chicago, IL 60647Sold",256000,1,1,765
"1842 N Kedzie Ave APT 1R, Chicago, IL 60647Sold",437500,3,3,"1,700"
"1643 N Washtenaw Ave, Chicago, IL 60647Sold",885000,4,4,"3,200"
"1648 N Troy St, Chicago, IL 60647Sold",620000,4,3.1,"3,300"
"3200 W North Ave, Chicago, IL 60647Sold",165000,2,2,"1,250"
"1907 N Richmond St, Chicago, IL 60647Sold",635000,3,4,"1,619"
"1827 N Fairfield Ave APT 3N, Chicago, IL 60647Sold",420000,2,2,"1,100"
"1818 N Fairfield Ave, Chicago, IL 60647Sold",860000,5,5,"4,000"
"3021 W Armitage Ave APT 401, Chicago, IL 60647Sold",395500,2,2,"1,329"
"1742 N Troy St, Chicago, IL 60647Sold",745000,5,4,"3,000"
"2550 N Lakeview Ave UNIT N602, Chicago, IL 60614Sold",865000,1,2,"1,164"
"3120 W Cortland St # 2, Chicago, IL 60647Sold",342000,2,2,"1,200"
"1919 N Francisco Ave, Chicago, IL 60647Sold",341000,5,3,"1,942"
"3262 W Armitage Ave UNIT 1, Chicago, IL 60647Sold",362000,3,3,"2,200"
"1856 N Sawyer Ave APT 301, Chicago, IL 60647Sold",289000,2,2,950
"2778 W Francis Pl # G2, Chicago, IL 60647Sold",259000,3,2,"1,800"
"1856 N Sawyer Ave # 301, Chicago, IL 60647Sold",289000,2,2,"1,100"
"1735 N Spaulding Ave, Chicago, IL 60647Sold",500000,4,3,"3,076"
"1732 N Humboldt Blvd, Chicago, IL 60647Sold",949000,5,4,"3,820"
"1745 N Troy St, Chicago, IL 60647Sold",685000,4,4,"2,800"
"1652 N Fairfield Ave # 1, Chicago, IL 60647Sold",443000,3,3,"2,100"
"1740 N Maplewood Ave APT 104, Chicago, IL 60647Sold",345000,1,1,"1,200"
"1640 N Rockwell St # 1A, Chicago, IL 60647Sold",500000,3,3,"1,800"
"2720 W Cortland St APT 308, Chicago, IL 60647Sold",234000,1,1,650
